frame_index,timestamp,R,G,B,average_SpO2
0, 14:07:56,66.220447,189.950166,1005.010653,96.45
1, 14:07:56,65.931345,189.281723,1000.514205,96.45
2, 14:07:56,65.080098,186.084517,988.558239,96.45
3, 14:07:56,64.585267,183.163471,974.40696,96.45
4, 14:07:56,64.475576,181.886955,973.713778,96.45
5, 14:07:56,64.407079,180.925781,973.770597,96.45
6, 14:07:56,64.142874,179.488281,968.120028,96.45
7, 14:07:56,63.828559,177.985677,964.567472,96.45
8, 14:07:56,63.810251,177.478575,962.37429,96.45
9, 14:07:56,64.111585,178.366477,966.909091,96.45
10, 14:07:56,64.379972,179.483665,970.879261,96.45
11, 14:07:56,64.311869,179.434659,970.571023,96.45
12, 14:07:56,64.28342,179.398556,970.147017,96.45
13, 14:07:56,64.396228,179.838305,971.97017,96.45
14, 14:07:56,64.570155,180.661695,974.299716,96.45
15, 14:07:56,64.729167,181.420928,978.076705,96.45
16, 14:07:56,64.83724,182.148082,979.558949,96.45
17, 14:07:56,64.961727,182.841619,982.441761,96.45
18, 14:07:56,65.063526,183.484612,983.359375,96.45
19, 14:07:56,65.143348,184.144058,985.790483,96.45
20, 14:07:56,65.271188,184.833452,987.730824,96.45
21, 14:07:56,65.394847,185.478101,990.260653,96.45
22, 14:07:56,65.498185,186.222775,991.93892,96.45
23, 14:07:56,65.589528,186.949929,993.759233,96.45
24, 14:07:56,65.767519,187.763731,996.465909,96.45
25, 14:07:56,65.903646,188.533854,1000.370739,96.45
26, 14:07:56,66.035432,189.340672,1002.359375,96.45
27, 14:07:56,66.133325,190.025923,1004.922585,96.45
28, 14:07:56,66.254301,190.696615,1006.665483,96.45
29, 14:07:56,66.387468,191.419034,1009.386364,96.45
30, 14:07:57,66.259036,191.180043,1005.483665,96.45
31, 14:07:57,66.332071,191.768466,1006.213068,96.45
32, 14:07:57,66.463542,192.414773,1009.076705,96.45
33, 14:07:57,66.605903,193.072443,1011.764205,96.45
34, 14:07:57,66.723879,193.685843,1013.549716,96.45
35, 14:07:57,66.889717,194.50438,1016.503551,96.45
36, 14:07:57,66.994792,195.289299,1018.403409,96.45
37, 14:07:57,67.003788,195.537879,1019.536932,96.45
38, 14:07:57,66.203559,193.027344,1007.638494,96.45
39, 14:07:57,65.224984,188.48035,992.700284,96.45
40, 14:07:57,64.822364,186.009706,983.731534,96.45
41, 14:07:57,64.804096,185.117306,983.286222,96.45
42, 14:07:57,64.563013,183.780895,977.696733,96.45
43, 14:07:57,64.173374,181.716619,972.745739,96.45
44, 14:07:57,63.868924,179.936316,965.887784,96.45
45, 14:07:57,63.848879,179.17732,964.794034,96.45
46, 14:07:57,64.169271,180.174006,969.21733,96.45
47, 14:07:57,64.332505,180.852154,971.868608,96.45
48, 14:07:57,64.180516,180.576586,970.382812,96.45
49, 14:07:57,64.18462,180.459635,969.743608,96.45
50, 14:07:57,64.338581,180.839134,972.350142,96.45
51, 14:07:57,64.439473,181.508286,974.203125,96.45
52, 14:07:57,64.570036,182.172704,975.541903,96.45
53, 14:07:57,64.689591,182.888849,978.977983,96.45
54, 14:07:57,64.798414,183.414181,979.760653,96.45
55, 14:07:57,64.934975,184.057765,982.136364,96.45
56, 14:07:57,65.016059,184.739938,983.945312,96.45
57, 14:07:57,65.171046,185.338897,986.877131,96.45
58, 14:07:57,65.285432,186.013494,988.296875,96.45
59, 14:07:57,65.380879,186.74349,991.56321,96.45
60, 14:07:58,65.529593,187.56179,992.799716,96.45
61, 14:07:58,65.666903,188.273911,995.714489,96.45
62, 14:07:58,65.761916,189.078835,997.143466,96.45
63, 14:07:58,65.931976,189.816761,1000.582386,96.45
64, 14:07:58,66.019334,190.362926,1002.046875,96.45
65, 14:07:58,66.128117,190.976207,1004.425426,96.45
66, 14:07:58,66.293127,191.74633,1006.983665,96.45
67, 14:07:58,66.47747,192.59813,1009.316051,96.45
68, 14:07:58,66.603062,193.287879,1011.548295,96.45
69, 14:07:58,66.642677,193.839962,1013.829545,96.45
70, 14:07:58,66.084359,192.09304,1005.546875,96.45
71, 14:07:58,65.23398,188.382812,992.46733,96.45
72, 14:07:58,64.874487,186.226681,985.431108,96.45
73, 14:07:58,64.820036,185.378196,983.610085,96.45
74, 14:07:58,64.709872,184.563802,980.726562,96.45
75, 14:07:58,64.45423,183.166193,976.767045,96.45
76, 14:07:58,64.261758,182.066998,973.15483,96.45
77, 14:07:58,64.341817,181.928859,974.314631,96.45
78, 14:07:58,64.704545,183.129735,979.3125,96.45
79, 14:07:58,64.737966,183.48331,980.240767,96.45
80, 14:07:58,64.601207,183.120857,977.71946,96.45
81, 14:07:58,64.634983,183.20277,978.668324,96.45
82, 14:07:58,64.76452,183.618845,980.369318,96.45
83, 14:07:58,64.915522,184.280185,983.53054,96.45
84, 14:07:58,65.03926,184.914181,984.976562,96.45
85, 14:07:58,65.178859,185.613755,986.864347,96.45
86, 14:07:58,65.291233,186.235914,989.259233,96.45
87, 14:07:58,65.369318,186.84517,991.502841,96.45
88, 14:07:58,65.440025,187.35322,992.821023,96.45
89, 14:07:58,65.552004,187.945786,994.291193,96.45
90, 14:07:59,65.685054,188.654593,996.515625,96.725
91, 14:07:59,65.79218,189.314039,999.012074,96.725
92, 14:07:59,65.935448,190.058239,1000.946023,96.725
93, 14:07:59,66.048808,190.812145,1002.915483,96.725
94, 14:07:59,66.196851,191.359493,1006.267756,96.725
95, 14:07:59,66.305871,191.958333,1007.806818,96.725
96, 14:07:59,66.40191,192.552794,1009.620739,96.725
97, 14:07:59,66.560014,193.262902,1012.162642,96.725
98, 14:07:59,66.70423,193.973485,1014.264205,96.725
99, 14:07:59,66.771386,194.55232,1016.410511,96.725
100, 14:07:59,66.765073,194.806581,1017.06392,96.725
101, 14:07:59,66.101562,192.470407,1007.390625,96.725
102, 14:07:59,65.304569,188.828954,993.976562,96.725
103, 14:07:59,65.00947,186.778883,988.556818,96.725
104, 14:07:59,64.996291,186.048532,986.81392,96.725
