frame_index,timestamp,R,G,B,average_SpO2
0, 15:13:23,70.882655,177.912642,934.174716,96.375
1, 15:13:23,71.002565,178.361861,936.674006,96.375
2, 15:13:23,71.036261,178.962003,937.050426,96.375
3, 15:13:23,71.084833,179.091146,937.913352,96.375
4, 15:13:23,70.745226,177.599313,929.62429,96.375
5, 15:13:23,70.144176,174.977983,921.723011,96.375
6, 15:13:23,69.841935,173.333097,915.132102,96.375
7, 15:13:23,69.765507,172.48544,917.921165,96.375
8, 15:13:23,69.730548,172.16134,916.74929,96.375
9, 15:13:23,69.691485,171.804569,915.807528,96.375
10, 15:13:23,69.635298,171.587713,914.71946,96.375
11, 15:13:23,69.700481,171.780421,916.00071,96.375
12, 15:13:23,69.820549,172.206913,917.659091,96.375
13, 15:13:23,69.860795,172.392045,918.227273,96.375
14, 15:13:23,69.863123,172.467211,917.953835,96.375
15, 15:13:23,69.850339,172.447325,917.698153,96.375
16, 15:13:23,69.93458,172.777699,918.598011,96.375
17, 15:13:23,70.060843,173.222775,920.674716,96.375
18, 15:13:23,70.158341,173.707978,922.193892,96.375
19, 15:13:23,70.219066,174.109848,923.505682,96.375
20, 15:13:23,70.349274,174.780777,925.84375,96.375
21, 15:13:23,70.406566,175.133996,925.889205,96.375
22, 15:13:23,70.51381,175.603456,927.90767,96.375
23, 15:13:23,70.586135,176.024976,929.28054,96.375
24, 15:13:23,70.663392,176.512429,929.946733,96.375
25, 15:13:23,70.784643,177.095407,931.921875,96.375
26, 15:13:23,70.812816,177.423295,932.315341,96.375
27, 15:13:23,70.905895,178.019295,935.010653,96.375
28, 15:13:23,70.965238,178.538234,935.235085,96.375
29, 15:13:23,71.037839,179.021662,935.956676,96.375
30, 15:13:24,71.157236,179.711766,938.227983,96.35
31, 15:13:24,70.856968,178.935014,931.976562,96.35
32, 15:13:24,70.539497,177.733073,927.355824,96.35
33, 15:13:24,70.04794,175.460582,919.362926,96.35
34, 15:13:24,69.76527,173.948272,916.107244,96.35
35, 15:13:24,69.758523,173.576231,915.431818,96.35
36, 15:13:24,69.755248,173.282789,915.591619,96.35
37, 15:13:24,69.732481,173.052083,914.903409,96.35
38, 15:13:24,69.683949,172.700047,914.007102,96.35
39, 15:13:24,69.747909,172.934541,914.831676,96.35
40, 15:13:24,69.811869,173.230114,915.732955,96.35
41, 15:13:24,69.852983,173.378078,915.77983,96.35
42, 15:13:24,69.831558,173.336056,915.490767,96.35
43, 15:13:24,69.836924,173.390507,915.414062,96.35
44, 15:13:24,69.888021,173.623343,916.245739,96.35
45, 15:13:24,69.917771,173.874053,916.872159,96.35
46, 15:13:24,70.025213,174.336056,919.28054,96.35
47, 15:13:24,70.071812,174.673769,920.048295,96.35
48, 15:13:24,70.193774,175.196378,921.291903,96.35
49, 15:13:24,70.238597,175.582741,922.817472,96.35
50, 15:13:24,70.305792,175.962358,923.703125,96.35
51, 15:13:24,70.370739,176.371212,924.15625,96.35
52, 15:13:24,70.35393,176.611506,924.49858,96.35
53, 15:13:24,70.502604,177.130919,926.734375,96.35
